[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]	[-0.014317999839782715, -0.24614700317382812, 3.2909999135881665e-6]	[-0.026787200927734376, -0.22234100341796875, 2.66400002874434e-6]
[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]	[-0.026787200927734376, -0.22234100341796875, 2.66400002874434e-6]	[-0.024429800033569336, -0.1961390075683594, 2.8379999566823245e-6]
[0.0001690009981393814, -0.18174000549316408, 1.1149999918416143e-6]	[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]	[-0.024429800033569336, -0.1961390075683594, 2.8379999566823245e-6]
[0.0001690009981393814, -0.18174000549316408, 1.1149999918416143e-6]	[-0.024429800033569336, -0.1961390075683594, 2.8379999566823245e-6]	[-0.02433340072631836, -0.16552699279785157, 2.155000111088157e-6]
[-0.0004938080012798309, -0.150468994140625, 2.203000010922551e-6]	[0.0001690009981393814, -0.18174000549316408, 1.1149999918416143e-6]	[-0.02433340072631836, -0.16552699279785157, 2.155000111088157e-6]
[-0.0004938080012798309, -0.150468994140625, 2.203000010922551e-6]	[-0.02433340072631836, -0.16552699279785157, 2.155000111088157e-6]	[-0.02497909927368164, -0.13500700378417968, 2.741999924182892e-6]
[-0.0008656299710273743, -0.11992800140380859, 2.096999902278185e-6]	[-0.0004938080012798309, -0.150468994140625, 2.203000010922551e-6]	[-0.02497909927368164, -0.13500700378417968, 2.741999924182892e-6]
[-0.0008656299710273743, -0.11992800140380859, 2.096999902278185e-6]	[-0.02497909927368164, -0.13500700378417968, 2.741999924182892e-6]	[-0.025269599914550783, -0.10486000061035157, 2.9120000544935464e-6]
[-0.000747622013092041, -0.08934300231933594, 1.9030000548809768e-6]	[-0.0008656299710273743, -0.11992800140380859, 2.096999902278185e-6]	[-0.025269599914550783, -0.10486000061035157, 2.9120000544935464e-6]
[-0.000747622013092041, -0.08934300231933594, 1.9030000548809768e-6]	[-0.025269599914550783, -0.10486000061035157, 2.9120000544935464e-6]	[-0.025510099411010744, -0.0750353012084961, 2.741999924182892e-6]
[-0.0004871779978275299, -0.05623780059814453, 1.4200000441633166e-7]	[-0.000747622013092041, -0.08934300231933594, 1.9030000548809768e-6]	[-0.025510099411010744, -0.0750353012084961, 2.741999924182892e-6]
[-0.0004871779978275299, -0.05623780059814453, 1.4200000441633166e-7]	[-0.025510099411010744, -0.0750353012084961, 2.741999924182892e-6]	[-0.027271299362182616, -0.049461299896240235, 2.0900000527035446e-7]
[0.027571500778198244, -0.22275199890136718, 3.278000047430396e-6]	[0.04928329849243164, -0.21089500427246094, 1.0839999886229634e-6]	[0.04749399948120117, -0.2434409942626953, 2.604000037536025e-6]
[0.015142800331115723, -0.2467570037841797, 8.350000134669245e-7]	[0.027571500778198244, -0.22275199890136718, 3.278000047430396e-6]	[0.04749399948120117, -0.2434409942626953, 2.604000037536025e-6]
[0.015142800331115723, -0.2467570037841797, 8.350000134669245e-7]	[0.04749399948120117, -0.2434409942626953, 2.604000037536025e-6]	[0.02968400001525879, -0.2736270141601563, 2.4199999461416157e-7]
[0.015142800331115723, -0.2467570037841797, 8.350000134669245e-7]	[0.02968400001525879, -0.2736270141601563, 2.4199999461416157e-7]	[9.40299965441227e-6, -0.27417999267578125, 2.6149998884648085e-6]
[0.015142800331115723, -0.2467570037841797, 8.350000134669245e-7]	[9.40299965441227e-6, -0.27417999267578125, 2.6149998884648085e-6]	[-0.014317999839782715, -0.24614700317382812, 3.2909999135881665e-6]
[0.015142800331115723, -0.2467570037841797, 8.350000134669245e-7]	[-0.014317999839782715, -0.24614700317382812, 3.2909999135881665e-6]	[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]
[0.027571500778198244, -0.22275199890136718, 3.278000047430396e-6]	[0.015142800331115723, -0.2467570037841797, 8.350000134669245e-7]	[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]
[0.027571500778198244, -0.22275199890136718, 3.278000047430396e-6]	[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]	[0.025199800491333007, -0.1964320068359375, 1.4299999456852674e-6]
[0.04928329849243164, -0.21089500427246094, 1.0839999886229634e-6]	[0.027571500778198244, -0.22275199890136718, 3.278000047430396e-6]	[0.025199800491333007, -0.1964320068359375, 1.4299999456852674e-6]
[0.049076301574707035, -0.1805030059814453, 3.4920000471174717e-6]	[0.04928329849243164, -0.21089500427246094, 1.0839999886229634e-6]	[0.025199800491333007, -0.1964320068359375, 1.4299999456852674e-6]
[0.049076301574707035, -0.1805030059814453, 3.4920000471174717e-6]	[0.025199800491333007, -0.1964320068359375, 1.4299999456852674e-6]	[0.024338199615478517, -0.16563000488281251, 5.070000188425183e-7]
[0.04827330017089844, -0.15008099365234376, 4.499999922700226e-7]	[0.049076301574707035, -0.1805030059814453, 3.4920000471174717e-6]	[0.024338199615478517, -0.16563000488281251, 5.070000188425183e-7]
[0.04827330017089844, -0.15008099365234376, 4.499999922700226e-7]	[0.024338199615478517, -0.16563000488281251, 5.070000188425183e-7]	[0.023245800018310548, -0.13505000305175782, 7.210000185295939e-7]
[0.04811849975585938, -0.12004000091552734, 3.0300000798888505e-7]	[0.04827330017089844, -0.15008099365234376, 4.499999922700226e-7]	[0.023245800018310548, -0.13505000305175782, 7.210000185295939e-7]
